Channel,Time,Voltage
2,57,-0.0453519
2,58,-0.0315449
2,59,-0.0397634
2,60,-0.0473244
2,61,-0.044037
2,62,-0.0407496
2,63,-0.0486393
2,64,-0.0571866
2,65,-0.0512693
2,66,-0.0499543
2,67,-0.0538992
2,68,-0.0420645
2,69,-0.0483106
2,70,-0.0407496
2,71,-0.0276
2,72,-0.0404208
2,73,-0.0509405
2,74,-0.0489681
2,75,-0.0542279
2,76,-0.0341748
2,77,-0.0226689
3,7,1.05428
3,8,0.630865
3,9,0.338287
3,10,0.183122
3,11,0.0726656
3,12,0.0161224
3,13,-0.0013008
3,14,-0.0108343
3,15,-0.0239838
3,16,-0.0391059
3,17,-0.044037
3,18,-0.0492968
3,19,-0.0483106
3,20,-0.036476
3,21,-0.0331886
3,22,-0.0483106
3,23,-0.0430508
3,24,-0.0453519
3,25,-0.018724
3,26,-0.0259563
3,27,-0.0430508
3,28,-0.0460094
3,29,-0.0266138
3,30,-0.0220114
3,31,-0.0269425
3,32,-0.0384484
3,33,-0.0417358
3,34,-0.0535704
3,35,-0.0525842
3,36,-0.0430508
3,37,-0.0279287
3,38,-0.035161
3,39,-0.0433795
3,40,-0.0548854
3,41,-0.0565291
3,42,-0.0509405
3,43,-0.0509405
3,44,-0.0463382
3,45,-0.0420645
3,46,-0.0509405
3,47,-0.0585015
3,48,-0.0601452
3,49,-0.0558716
3,50,-0.0545566
3,51,-0.051598
3,52,-0.0535704
3,53,-0.0558716
3,54,-0.0509405
3,55,-0.0437082
3,56,-0.051598
3,57,-0.0492968
3,58,-0.0519267
3,59,-0.0407496
3,60,-0.0437082
3,61,-0.0473244
3,62,-0.0519267
3,63,-0.0512693
3,64,-0.059159
3,65,-0.060474
3,66,-0.0496256
3,67,-0.0555429
3,68,-0.0496256
3,69,-0.0555429
3,70,-0.0568578
3,71,-0.0410783
3,72,-0.0407496
3,73,-0.0473244
3,74,-0.0308874
3,75,-0.0420645
3,76,-0.0437082
3,77,-0.0269425
4,8,0.47307
4,9,0.521724
4,10,0.272211
4,11,0.109156
4,12,0.0161224
4,13,-0.0417358
4,14,-0.0726373
4,15,-0.0594877
4,16,-0.0910468
4,17,-0.0982791
4,18,-0.100251
4,19,-0.0949917
4,20,-0.0946629
4,21,-0.0861157
4,22,-0.0992653
4,23,-0.103539
4,24,-0.0943342
4,25,-0.0884169
4,26,-0.0824995
4,27,-0.0943342
4,28,-0.0969641
4,29,-0.0949917
4,30,-0.0953204
4,31,-0.100251
4,32,-0.116031
4,33,-0.0992653
4,34,-0.0969641
4,35,-0.105183
4,36,-0.0913755
4,37,-0.0949917
4,38,-0.101238
4,39,-0.0818421
4,40,-0.0874306
4,41,-0.0949917
4,42,-0.105511
4,43,-0.103868
4,44,-0.107484
4,45,-0.0867732
4,46,-0.0913755
4,47,-0.0930192
4,48,-0.0949917
4,49,-0.099594
4,50,-0.0936767
4,51,-0.10058
4,52,-0.0867732
4,53,-0.0874306
4,54,-0.092033
4,55,-0.101895
4,56,-0.0999228
4,57,-0.0936767
4,58,-0.0828283
4,59,-0.0913755
4,60,-0.0746098
4,61,-0.083157
4,62,-0.0867732
4,63,-0.0940054
4,64,-0.10321
4,65,-0.110442
4,66,-0.116688
4,67,-0.113072
4,68,-0.102553
4,69,-0.0926905
4,70,-0.099594
4,71,-0.0999228
4,72,-0.0834858
4,73,-0.0956491
4,74,-0.0805271
4,75,-0.0943342
4,76,-0.0792121
4,77,-0.0805271
5,8,1.09077
5,9,0.887939
5,10,0.557556
5,11,0.294565
5,12,0.132496
5,13,0.0332169
5,14,-0.00656063
5,15,-0.0400921
5,16,-0.0407496
5,17,-0.0371334
5,18,-0.0414071
5,19,-0.0348323
5,20,-0.0417358
5,21,-0.0585015
5,22,-0.0400921
5,23,-0.0331886
5,24,-0.0377909
5,25,-0.0423933
5,26,-0.059159
5,27,-0.0374622
5,28,-0.0391059
5,29,-0.0348323
5,30,-0.0299012
5,31,-0.0456807
5,32,-0.0542279
5,33,-0.0400921
5,34,-0.0466669
5,35,-0.0585015
5,36,-0.0726373
5,37,-0.0562003
5,38,-0.0384484
5,39,-0.0407496
5,40,-0.0489681
5,41,-0.044037
5,42,-0.0397634
5,43,-0.0575153
5,44,-0.0512693
5,45,-0.0430508
5,46,-0.0302299
5,47,-0.0387771
5,48,-0.0410783
5,49,-0.0571866
5,50,-0.0581728
5,51,-0.0400921
5,52,-0.050283
5,53,-0.0433795
5,54,-0.0512693
5,55,-0.0437082
5,56,-0.0525842
5,57,-0.0266138
5,58,-0.0496256
5,59,-0.0542279
5,60,-0.0654051
5,61,-0.0509405
5,62,-0.0545566
5,63,-0.0506118
5,64,-0.0394346
5,65,-0.0496256
5,66,-0.0361472
5,67,-0.044037
5,68,-0.0723086
5,69,-0.0654051
5,70,-0.0394346
5,71,-0.0381197
5,72,-0.036476
5,73,-0.0542279
5,74,-0.0617889
5,75,-0.0657338
5,76,-0.0673775
5,77,-0.0558716
6,0,0.260047
6,1,0.915553
6,2,1.06546
6,3,0.975055
6,4,0.88761
6,5,0.82515
6,6,0.477015
6,7,0.266622
6,8,0.119675
6,9,0.217311
6,10,0.153207
6,11,0.0680633
6,12,0.00560274
6,13,-0.0299012
6,14,-0.0608027
6,15,-0.0821708
6,16,-0.0851295
6,17,-0.0903893
6,18,-0.0989365
6,19,-0.100251
6,20,-0.0989365
6,21,-0.0999228
6,22,-0.102224
6,23,-0.0992653
6,24,-0.0969641
6,25,-0.0867732
6,26,-0.10584
6,27,-0.102224
6,28,-0.0972928
6,29,-0.0936767
6,30,-0.0887456
6,31,-0.0979503
6,32,-0.105511
6,33,-0.0877594
6,34,-0.0910468
6,35,-0.099594
6,36,-0.114059
6,37,-0.112744
6,38,-0.101238
6,39,-0.093348
6,40,-0.093348
6,41,-0.0900606
6,42,-0.0739523
6,43,-0.0903893
6,44,-0.0953204
6,45,-0.0798696
6,46,-0.0759247
6,47,-0.0877594
6,48,-0.0986078
6,49,-0.106498
6,50,-0.0992653
6,51,-0.0963066
6,52,-0.0992653
6,53,-0.0815133
6,54,-0.0969641
6,55,-0.0884169
6,56,-0.10058
6,57,-0.093348
6,58,-0.0851295
6,59,-0.0772397
6,60,-0.0949917
6,61,-0.0788834
6,62,-0.090718
